LEVEL,UNIT,TOPIC AND CONTENT AREA,PART,CONTENT VOCABULARY,ACADEMIC VOCABULARY,LANGUAGE SKILL,THINKING MAP SKILL,READING SKILL,PHONICS SKILL,GRAMMAR SKILL,ORAL LANGUAGE PROJECT,WRITING PROJECT,GENRES,
3A,1,Happy to Help (Social Studies),Part 1,"action, difference, gift, problem, receive, solution","kindness, need, understand, value, want",Retell a Story,Plot,Preview and Predict,Compound Words,Complete Sentences,,Write a Personal Narrative,"Realistic Fiction, Poem",
3A,1,Happy to Help (Social Studies),Part 2,"improve, individual, neighborhood, offer, volunteer","benefit, duty, identify, impact, learn",Make Comparisons,Make Comparisons,Monitor and Clarify,Syllable Division,More Subjects and Predicates,Oral Report,,"Autobiography, Biography",
3A,2,Nature's Balance (Science),Part 1,"amount, behavior, decrease, increase, supply","balance, control, interact, react, scarce",Ask and Answer Questions,Compare and Contrast,Ask Questions,Vowel Sounds and Spellings: u_e,Kinds of Sentences,,Write a Summary,"Humorous Story, Riddle",
3A,2,Nature's Balance (Science),Part 2,"drought, ecosystem, food chain, level, river","competition, nature, negative, positive, resources",Give and Carry Out Commands,Cause and Effect,Ask Questions,Vowel Sounds and Spellings: oo,Compound Sentences,Narrative Presentation,,"Science Article, Human Interest Feature",
3A,3,Life in the Soil (Science),Part 1,"blossom, cycle, root, seed, soil, sprout","characteristic, conditions, depend, growth, produce",Give Information,Sequence,Make Inferences,Review: Two- and Three-Letter Blends,Plural Nouns,,Write an Article,"Realistic Fiction, Haiku",
3A,3,Life in the Soil (Science),Part 2,"city, desert, rainforest, vine, weed","diversity, environment, organism, protect, unique",Define and Explain,Main Idea and Details,Make Inferences,Review: Plurals: -s -es -ies,More Plural Nouns,News Report,,"Nonfiction: Science Article, Blog",
3A,4,Let's Work Together (Social Studies),Part 1,"advertisement, buyer, market, money, pay, seller","accomplish, cooperation, plenty, purpose, reward","Express Needs, Wants, and Feelings",Theme,Determine Importance,Syllable Division,Present-Tense Action Verbs,,Write a Persuasive Essay,Realistic Fiction,
3A,4,Let's Work Together (Social Studies),Part 2,"agriculture, crop, farmer, field, harvest, plow","alternative, conservation, future, method, sustain",Persuade,Opinion and Evidence,Summarize,Vowel Sounds and Spellings: al aw au,"Forms of be, have",Persuasive Presentation,,"Persuasive Article, Fable",
3B,5,Mysteries of Matter (Science),Part 1,"form, freeze, liquid, melt, solid, temperature, thermometer","alter, occur, state, substance, trap",Describe Actions,Character and Plot,Make Connections,"Endings: -ed, -ing",Adjectives and Articles,,Write a Literary Response,"Play, E-mail, Web-based News Article",
3B,5,Mysteries of Matter (Science),Part 2,"ground, mixture, sand, water, wetland","area, combine, composition, firm, surface",Describe Places,Cause and Effect,Make Connections,"Prefixes: in-, im-",Possessive Nouns/Adjectives,Interview,,Science Article,
3B,6,From Past to Present (Social Studies),Part 1,"heritage, music, region, rhythm, vary","express, feelings, perform, popular, style",Ask for and Give Information,Classify Details,Visualize,"Prefixes: un-, re-",Pronoun Agreement,,Write an Interview,"Song Lyrics, Biography",
3B,6,From Past to Present (Social Studies),Part 2,"artist, carve, storyteller, tale, tradition, wood","communicate, generation, preservation, process, represent",Give and Follow Instructions,Steps in a Process,Visualize,"Prefixes: mis-, dis-",Pronoun Agreement,Instructions,,"Descriptive Article, Profile, Folk Tale",
3B,7,Blast! Crash! Splash! (Science),Part 1,"erupt, flow, island, lava, magma, ocean, rock, volcano","core, create, develop, force, pressure",Tell an Original Story,Imagery,Draw Conclusions,"Suffixes: -sion, -tion, -ous",Adverbs,Informational Presentation,Write a Research Report,"Narrative Poem, Photo Essay",
3B,7,Blast! Crash! Splash! (Science),Part 2,"earthquake, plate, shore, tsunami, wave","power, rescue, sense, signal, warn",Express Opinions and Ideas,Cause and Effect,Form Generalizations,"Syllable Pattern: Consonant + -le, -al, -el",Prepositional Phrases,,,"Historical Fiction, Online Article",
3B,8,Getting There (Math and Social Studies),Part 1,"distance, feet, kilometer, measurement, meter, unit","achieve, direction, estimate, goal, strategy",Ask for and Give Advice,Goal and Outcome,Review,"Suffixes: -ant, -ent",Past Tense,,Write a Story,"Realistic Fiction, Myth, Folk Tale",
3B,8,Getting There (Math and Social Studies),Part 2,"continent, destination, globe, journey, location","challenge, discover, endurance, explore, prepare",Express Intentions,Main Ideas and Details,Review,Words with More Than One Syllable,Future Tense,Panel,,Human Interest Feature,
4A,1,Living Traditions (Social Studies),Part 1,"craft, musical, perform, pottery, tradition, weave","create, culture, express, medium, style",Express Feelings,Main Idea and Details,Plan and Monitor,,Complete Sentences,Interview,Write an Interview,"Interview, Biography",
4A,1,Living Traditions (Social Studies),Part 2,"ancestor, ceremony, marriage, occasion, ritual","belief, custom, influence, relationship, role",Ask for and Give Information,Plot,Monitor and Clarify,,Subject-Verb Agreement,,,"Folk Tale,  Magazine Article",
